23.0,570.7,877.5,84.0
23.2,571.0,877.4,84.0
23.0,570.7,877.6,84.0
22.9,570.8,877.0,84.0
23.0,570.6,877.5,84.0
23.3,570.8,877.7,84.0
23.2,571.1,877.5,84.0
23.1,570.2,877.4,84.0
23.2,570.8,877.5,84.0
22.8,571.0,877.5,84.0
23.0,570.7,877.5,84.0
23.2,570.5,877.2,84.0
23.4,570.9,877.6,84.0
23.1,570.3,878.2,84.0
23.2,570.6,877.5,84.0
23.1,570.5,877.2,84.0
22.7,571.1,877.6,84.0
23.2,570.4,877.3,84.0
23.1,570.8,877.6,84.0
23.1,570.5,877.4,84.0
23.2,570.4,877.3,84.0
23.3,570.9,877.4,84.0
23.1,570.8,877.2,84.0
23.1,571.1,877.5,84.0
23.1,570.8,877.6,84.0
23.3,570.5,877.4,84.0
23.0,570.7,877.3,84.0
23.2,570.6,877.9,84.0
23.1,570.5,877.4,84.0
23.1,571.0,877.5,84.0
23.1,570.5,877.8,84.0
22.9,570.7,877.9,84.0
22.8,570.8,877.3,84.0
23.3,570.7,877.8,84.0
22.9,570.5,877.5,84.0
22.9,570.7,877.3,84.0
23.2,570.5,878.0,84.0
23.0,570.7,877.6,84.0
23.0,570.9,877.5,84.0
22.6,570.4,877.7,84.0
22.7,570.5,877.4,84.0
23.0,571.1,877.8,84.0
23.1,570.6,877.6,84.0
22.9,570.4,877.6,84.0
22.7,570.9,877.5,84.0
23.1,570.5,877.4,84.0
22.9,570.2,877.8,84.0
22.9,570.7,878.0,84.0
23.1,570.6,877.6,84.0
23.0,570.7,877.4,84.0
22.9,570.3,877.6,84.0
23.0,570.7,877.8,84.0
22.8,570.8,877.9,84.0
23.2,571.0,877.4,84.0
23.0,570.6,878.1,84.0
22.6,570.9,877.6,84.0
22.8,570.6,877.6,84.0
23.0,570.5,877.6,84.0
22.5,570.8,877.7,84.0
23.0,570.4,877.5,84.0
22.5,570.7,877.4,84.0
22.5,570.5,877.5,84.0
22.8,570.5,877.7,84.0
22.7,570.7,877.3,84.0
22.7,570.5,877.4,84.0
22.9,570.8,878.1,84.0
23.2,570.7,877.4,84.0
23.1,570.5,877.7,84.0
23.0,570.3,877.6,84.0
22.6,570.4,877.5,84.0
23.0,570.7,877.3,84.0
22.7,570.6,877.4,84.0
22.9,570.6,877.7,84.0
23.0,570.5,877.5,84.0
23.2,570.5,877.4,84.0
23.0,570.5,877.8,84.0
22.8,570.8,877.5,84.0
23.0,571.0,877.7,84.0
22.9,570.7,877.7,84.0
22.8,571.1,877.4,84.0
22.8,570.8,877.1,84.0
23.1,570.7,877.6,84.0
23.3,570.4,877.9,84.0
23.2,570.6,877.8,84.0
23.0,570.5,877.7,84.0
23.1,570.6,877.6,84.0
22.6,570.4,877.3,84.0
23.1,570.7,877.1,84.0
